episode,score,best_score,total_reward,time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity
1,0.0,-inf,-59.49492817955874,1.8000000000000012,-13.88815285703149,2.204805750310955,0.0,5.541964356068014,2.9624279277306016,0.0,-9.80906760453306,2.5903407977777317,-13.663324497452322,-18.64773565727002,-10.209824079428264,0.0
2,0.0,-inf,-59.63004909527813,1.8000000000000012,-13.897770123809993,1.8619458734044796,0.0,2.668366421003336,2.272982869190292,0.0,-10.28794906900845,1.9706520960897724,-13.430746116285198,-21.475051278856167,-9.884886127280117,0.0
3,-1.8825344789160028,-0.09066376007325991,-58.35856884639609,1.8600000000000012,-18.107037652315626,3.2496511644075823,0.0,0.48426956626015727,2.587747396035862,0.0,-12.20451500873061,6.478215929129195,-22.742279183499573,3.628513741744347,-10.469994492341533,0.0
4,-0.09453896408836353,2.630804381733082,-3.3088637430927235,2.1000000000000014,-40.52894564781797,2.0271249366071293,0.0,6.100062215824183,3.761229754467248,0.0,-14.025611919729304,3.8589185120362965,-35.22535285695977,-0.05150123984311731,1.1150606598978179,0.0
5,2.9493728495389133,2.949462828442609,247.74731936126872,5.0399999999999805,-41.74336069697517,18.28393583577359,127.05395793761254,0.2809388612050805,1.724240902750589,0.0,-30.065110639462464,5.722033635515264,11.24129071332426,-0.38364231108044133,0.7124217557285907,0.0
6,2.951476659910508,2.951476659910508,247.9240394324827,5.0399999999999805,-32.74322892319386,3.682460918827915,132.4161150908336,6.119380106928331,1.0025982278373586,0.0,-21.865120995706857,0.4471835641605199,20.21160149856142,-0.18300113612211813,0.12305576372595482,0.0
7,2.951618829689938,2.951618829689938,247.9359816939548,5.0399999999999805,-2.8498510935455603,-7.324933852512438,138.78949207504778,5.862895763051192,5.726974270445702,0.0,1.063088284593178,-7.444031061242194,29.936325081589036,-0.21125916670299535,-0.5642824515064323,0.0
8,2.951587135988111,2.951618829689938,247.9333194230013,5.0399999999999805,-19.757286266263677,-4.885039613625991,138.21835766070313,0.4864848463654008,0.25906572125592575,0.0,-11.848022452720922,0.2336217775249101,28.652859326202645,0.18571524651608615,-0.1852327480934998,0.0
9,2.951662988353634,2.951662988353634,247.93969102170524,5.0399999999999805,24.7867202373913,27.643484945816077,150.35608940567573,0.6941281459538606,4.719349821789081,0.0,22.15742896836687,27.193844669102017,50.32077715896316,0.2543645771806421,-0.5359838296099073,0.0
10,2.9515521334388226,2.951662988353634,247.9303792088611,5.0399999999999805,-1.6838160062492338,35.10973284448456,133.8067598616297,0.4590943070756168,6.064044136907334,0.0,0.4156510549986733,15.986712131811908,24.51043142339404,0.06020158808216325,-0.05037470194094229,0.0
11,2.9516018092094733,2.951662988353634,247.93455197359575,5.0399999999999805,10.642455974069998,-6.264609092979468,138.58083848443107,5.986276113394643,5.978149682748555,0.0,7.399570277939419,-5.146899572134653,27.228334092383786,-0.07161787812057861,0.13474368100085346,0.0
12,2.951521937198995,2.951662988353634,247.9278427247156,5.0399999999999805,-23.804148393849825,-14.502883490332966,134.48161774208612,5.749707027979273,1.1206032927544047,0.0,-19.63749657376467,-7.542757774197691,22.132688545254506,-0.1810691027907837,0.6156757693009242,0.0
13,2.9515529803547187,2.951662988353634,247.93045034979636,5.0399999999999805,-27.980625998308597,2.247149691009915,134.4866790307413,5.9985748632750315,1.088476144696311,0.0,-20.167758751345033,-1.3489966235476742,22.562051792870175,-0.17362016884608722,0.3789264660472214,0.0
14,2.9516369554135062,2.951662988353634,247.93750425473453,5.0399999999999805,1.0266869810874497,28.860254187295393,168.3796480470206,1.3314949704859558,6.225182642072355,0.0,0.609624366471972,8.708518775100284,73.1557129802817,0.27555909997543077,-0.12497738082577019,0.0
15,2.9126330521904187,2.951662988353634,244.66117638399518,5.0399999999999805,-11.667978135328847,-53.592701073469634,118.61065546438866,4.277147338369826,0.9024603509409204,0.0,-13.949365798179617,-31.682038673212027,3.5880321295688544,-0.5397260716650321,0.5793840554063795,0.0
16,2.9516229798236404,2.951662988353634,247.9363303051858,5.0399999999999805,32.65355976145042,-16.418697683302238,175.53193033885077,6.279938188828634,4.818044042923134,0.0,12.593889672812287,-10.469327350444017,98.46718161832999,0.132145396488901,-0.3899725616775242,0.0
17,2.951617611413763,2.951662988353634,247.93587935875607,5.0399999999999805,-17.148083630117068,17.567668116536133,141.70796319220366,1.0923223613525614,0.3778764861488124,0.0,-11.641271086201037,11.128645956664078,32.44646628208528,0.33248235086290345,0.022102839748119007,0.0
18,2.9513285745220794,2.951662988353634,247.91160025985468,5.0399999999999805,-35.854487540391126,-21.19070688404345,129.33429701236872,5.260813659731783,0.7365670726941076,0.0,-18.726203929931337,-15.485250718123522,17.821705621656896,-0.35060144521671405,0.24864185576044653,0.0
19,2.9516080873759547,2.951662988353634,247.9350793395802,5.0399999999999805,9.617025617077104,-12.086264749189038,138.23677985161774,0.19448227498737225,0.205746751160941,0.0,1.8059750684838558,-4.052437310989093,29.554651854448682,0.2099381127675798,0.23968238908770687,0.0
20,2.951067604466734,2.951662988353634,247.88967877520565,5.0399999999999805,-47.3813620030661,1.3118292879874318,126.20440139577588,6.206392927708247,0.9981643523668264,0.0,-24.172278100063338,0.6048884919439671,17.014656555074893,-0.17727878219163937,0.06259166880098709,0.0
21,2.9516549008103623,2.951662988353634,247.93901166807044,5.0399999999999805,37.14135513368494,3.4342581460870125,145.67835494566697,0.6821953874319586,4.911476587458607,0.0,21.38637467900918,5.784949384798993,35.599485491109924,0.21901721101430896,-0.41115956775649043,0.0
22,2.951632908248926,2.951662988353634,247.93716429290978,5.0399999999999805,-11.596647704039588,51.0507043823593,190.01254311974523,2.067130336206837,0.25870372195870317,0.0,-10.940767299794073,100.46628684392947,184.2985115157885,0.6038847129278901,0.2114491717508378,0.0
23,2.944748459795424,2.951662988353634,247.35887062281563,5.0399999999999805,-52.18214697153321,-33.11925786127499,117.72851229877092,5.4573961998697875,1.213993722707266,0.0,-25.91247660059294,-13.991951896928642,9.675068210411771,-0.03741383147627574,0.2007537527177491,0.0
24,2.9515597814078167,2.951662988353634,247.9310216382566,5.0399999999999805,-9.576403306229246,-26.05126637474285,134.61284188251147,5.594133251844056,0.5184858983583762,0.0,-8.720997673665956,-15.130554849117443,23.732826709495363,-0.17905942583803486,0.12448214699817996,0.0
